id,category,context,prefix,blanks_before,middle_hint,blanks_after,suffix,answer,choices
19,indirect_question,Have you bought any of Zyon Incorporated's stock?,Do you know,5,,0,effect next month?,when the new policy takes,when|new|already|the|policy|just|takes
20,indirect_question,The job fair will include several companies from overseas.,Can you explain,4,,0,the job fair?,which companies are attending,companies|attending|it|which|are|was
21,indirect_question,Our professor recommended a few good sources for the paper.,Did you find out,5,,0,reservations today?,if the restaurant is taking,was|did|if|taking|is|the|restaurant
22,indirect_question,That jazz concert last Friday was really amazing.,I wonder,5,,0,schedule later today?,why the team changed its,changed|the|you|actually|its|team|why
23,indirect_question,Have you bought any of Zyon Incorporated's stock?,Can you tell me,5,,0,on Friday?,when the seminar will begin,when|you|begin|still|will|seminar|the
24,indirect_question,Our professor recommended a few good sources for the paper.,Can you tell me,5,,0,more smoothly?,how the problem can be,actually|can|how|the|was|be|problem
25,indirect_question,Why did you move to this neighborhood?,Can you tell me,4,,0,volunteer events?,which organizations are planning,did|always|planning|which|are|organizations
26,indirect_question,Didn't you tell me you lost that document?,Do you know,5,,0,its hours this week?,whether the museum will extend,extend|whether|museum|they|will|the|about
27,indirect_question,We should check out that new restaurant this afternoon.,Could you tell me,5,,0,so confusing?,why the website has been,been|why|the|has|even|website|already
28,indirect_question,The website redesign has caused a few unexpected issues.,Could you tell me,5,,0,for each session?,how the students were grouped,grouped|find|did|students|the|how|were
29,indirect_question,My next project will be a documentary film about an influential leader.,Have you heard,5,,0,effect next month?,when the new policy takes,do|maybe|new|policy|the|when|takes
30,indirect_question,The apartment complex is adding new security cameras this month.,Could you tell me,4,,0,the job fair?,which companies are attending,companies|already|are|which|they|attending
31,indirect_question,My next project will be a documentary film about an influential leader.,Did you find out,5,,0,reservations today?,if the restaurant is taking,is|taking|restaurant|if|always|the|even
32,indirect_question,I'm looking for winter volunteer opportunities.,Have you heard,5,,0,schedule later today?,why the team changed its,its|the|team|about|changed|why|still
33,indirect_question,Didn't you tell me you lost that document?,Have you heard,5,,0,on Friday?,when the seminar will begin,seminar|when|are|will|the|begin|was
34,indirect_question,The manager asked everyone to arrive a little earlier tomorrow.,Can you explain,5,,0,more smoothly?,how the problem can be,the|know|can|be|problem|how|quite
35,indirect_question,Have you bought any of Zyon Incorporated's stock?,Can you explain,4,,0,volunteer events?,which organizations are planning,are|they|organizations|planning|which|probably
36,indirect_question,The public speaking seminar had many different sessions.,Did you find out,5,,0,its hours this week?,whether the museum will extend,the|probably|rather|whether|extend|museum|will
37,indirect_question,My next project will be a documentary film about an influential leader.,Can you explain,5,,0,so confusing?,why the website has been,why|the|website|has|been|did|even
38,indirect_question,I saw a few complaints about problems with the payment page.,Could you tell me,5,,0,for each session?,how the students were grouped,probably|were|the|grouped|do|students|how
39,indirect_question,My next project will be a documentary film about an influential leader.,I wonder,5,,0,effect next month?,when the new policy takes,the|policy|new|takes|when|find|really
40,indirect_question,Some people were confused by the updated registration process.,Would you tell me,4,,0,the job fair?,which companies are attending,are|which|out|companies|attending|they
41,indirect_question,We should check out that new restaurant this afternoon.,Could you tell me,5,,0,reservations today?,if the restaurant is taking,restaurant|know|did|is|taking|if|the
42,indirect_question,The club plans to organize another charity event this semester.,I wonder,5,,0,schedule later today?,why the team changed its,quite|changed|why|the|probably|team|its
43,indirect_question,The manager asked everyone to arrive a little earlier tomorrow.,Did you find out,5,,0,on Friday?,when the seminar will begin,find|seminar|begin|still|will|the|when
44,indirect_question,The travel fair had several booths about study-abroad programs.,Have you heard,5,,0,more smoothly?,how the problem can be,the|can|you|maybe|problem|be|how
45,indirect_question,The job fair will include several companies from overseas.,Do you know,4,,0,volunteer events?,which organizations are planning,planning|always|are|organizations|actually|which
46,indirect_question,Didn't you tell me you lost that document?,Can you tell me,5,,0,its hours this week?,whether the museum will extend,about|whether|museum|extend|even|will|the
47,indirect_question,My next project will be a documentary film about an influential leader.,I wonder,5,,0,so confusing?,why the website has been,why|the|has|really|maybe|website|been
48,indirect_question,The travel fair had several booths about study-abroad programs.,Can you tell me,5,,0,for each session?,how the students were grouped,the|do|how|grouped|just|were|students
49,indirect_question,Some people were confused by the updated registration process.,Can you tell me,5,,0,effect next month?,when the new policy takes,the|when|policy|you|takes|new|probably
50,indirect_question,The website redesign has caused a few unexpected issues.,Would you tell me,4,,0,the job fair?,which companies are attending,companies|attending|they|is|which|are
51,indirect_question,Some people were confused by the updated registration process.,Can you tell me,5,,0,reservations today?,if the restaurant is taking,restaurant|is|if|just|taking|the|find
52,indirect_question,The manager asked everyone to arrive a little earlier tomorrow.,Could you tell me,5,,0,schedule later today?,why the team changed its,changed|maybe|the|its|why|just|team
53,indirect_question,The manager asked everyone to arrive a little earlier tomorrow.,Can you tell me,5,,0,on Friday?,when the seminar will begin,the|will|did|when|seminar|probably|begin
54,indirect_question,What did the teacher mean during class?,Did you find out,5,,0,more smoothly?,how the problem can be,do|can|be|the|always|how|problem
55,indirect_question,Our professor recommended a few good sources for the paper.,Can you tell me,4,,0,volunteer events?,which organizations are planning,are|planning|organizations|really|which|do
56,indirect_question,The travel fair had several booths about study-abroad programs.,Do you know,5,,0,its hours this week?,whether the museum will extend,will|the|know|already|whether|extend|museum
57,indirect_question,The manager asked everyone to arrive a little earlier tomorrow.,I wonder,5,,0,so confusing?,why the website has been,website|has|never|is|the|why|been
58,indirect_question,What did the teacher mean during class?,Do you know,5,,0,for each session?,how the students were grouped,rather|how|just|grouped|were|students|the
59,indirect_question,The website redesign has caused a few unexpected issues.,Can you explain,5,,0,effect next month?,when the new policy takes,policy|just|when|the|maybe|new|takes
60,indirect_question,I saw a few complaints about problems with the payment page.,Could you tell me,4,,0,the job fair?,which companies are attending,which|even|always|companies|are|attending
61,indirect_question,Didn't you tell me you lost that document?,Could you tell me,5,,0,reservations today?,if the restaurant is taking,about|it|the|if|restaurant|taking|is
62,indirect_question,The club plans to organize another charity event this semester.,Do you know,5,,0,schedule later today?,why the team changed its,changed|rather|team|why|its|the|you
63,indirect_question,Our professor recommended a few good sources for the paper.,Can you tell me,5,,0,on Friday?,when the seminar will begin,seminar|still|will|the|begin|when|did
64,indirect_question,The website redesign has caused a few unexpected issues.,Can you tell me,5,,0,more smoothly?,how the problem can be,did|is|be|problem|the|how|can
65,indirect_question,Why did you move to this neighborhood?,Can you tell me,4,,0,volunteer events?,which organizations are planning,just|is|planning|organizations|which|are
66,indirect_question,The manager asked everyone to arrive a little earlier tomorrow.,Can you explain,5,,0,its hours this week?,whether the museum will extend,museum|actually|was|extend|will|the|whether
67,indirect_question,Some people were confused by the updated registration process.,I wonder,5,,0,so confusing?,why the website has been,already|has|just|the|website|been|why
68,indirect_question,The apartment complex is adding new security cameras this month.,Do you know,5,,0,for each session?,how the students were grouped,the|were|always|students|already|grouped|how
69,indirect_question,The job fair will include several companies from overseas.,Did you find out,5,,0,effect next month?,when the new policy takes,takes|new|did|policy|the|about|when
70,indirect_question,My next project will be a documentary film about an influential leader.,Could you tell me,4,,0,the job fair?,which companies are attending,which|actually|companies|never|are|attending
71,indirect_question,Why did you move to this neighborhood?,Have you heard,5,,0,reservations today?,if the restaurant is taking,restaurant|the|actually|still|is|if|taking
72,indirect_question,Why did you move to this neighborhood?,Do you know,5,,0,schedule later today?,why the team changed its,team|probably|the|changed|why|you|its
73,indirect_question,I heard the museum will extend its hours during the festival.,Can you tell me,5,,0,on Friday?,when the seminar will begin,the|when|seminar|will|is|begin|never
74,indirect_question,I heard the museum will extend its hours during the festival.,Could you tell me,5,,0,more smoothly?,how the problem can be,they|how|the|be|problem|can|know
75,indirect_question,My next project will be a documentary film about an influential leader.,Could you tell me,4,,0,volunteer events?,which organizations are planning,they|did|organizations|are|planning|which
76,indirect_question,The apartment complex is adding new security cameras this month.,Have you heard,5,,0,its hours this week?,whether the museum will extend,museum|extend|they|whether|did|will|the
77,indirect_question,Didn't you tell me you lost that document?,Have you heard,5,,0,so confusing?,why the website has been,the|already|find|why|has|website|been
78,indirect_question,The apartment complex is adding new security cameras this month.,Can you tell me,5,,0,for each session?,how the students were grouped,the|students|always|were|how|grouped|probably
79,indirect_question,The club plans to organize another charity event this semester.,I wonder,5,,0,effect next month?,when the new policy takes,takes|the|did|new|when|policy|still
80,indirect_question,I saw a few complaints about problems with the payment page.,Have you heard,4,,0,the job fair?,which companies are attending,are|attending|which|companies|it|know
81,indirect_question,Why did you move to this neighborhood?,Can you tell me,5,,0,reservations today?,if the restaurant is taking,taking|if|is|restaurant|already|the|was
82,indirect_question,Have you bought any of Zyon Incorporated's stock?,I wonder,5,,0,schedule later today?,why the team changed its,its|why|team|find|changed|the|they
83,indirect_question,Why did you move to this neighborhood?,Can you explain,5,,0,on Friday?,when the seminar will begin,they|will|when|did|the|seminar|begin
84,indirect_question,The manager asked everyone to arrive a little earlier tomorrow.,Could you tell me,5,,0,more smoothly?,how the problem can be,can|even|never|problem|be|the|how
85,indirect_question,The apartment complex is adding new security cameras this month.,Could you tell me,4,,0,volunteer events?,which organizations are planning,are|which|planning|quite|never|organizations
86,indirect_question,Our professor recommended a few good sources for the paper.,Do you know,5,,0,its hours this week?,whether the museum will extend,museum|extend|will|actually|whether|are|the
87,indirect_question,The job fair will include several companies from overseas.,Can you explain,5,,0,so confusing?,why the website has been,always|has|why|been|website|is|the
88,indirect_question,The public speaking seminar had many different sessions.,Do you know,5,,0,for each session?,how the students were grouped,how|the|did|were|grouped|students|you
89,indirect_question,The public speaking seminar had many different sessions.,Have you heard,5,,0,effect next month?,when the new policy takes,policy|the|was|did|takes|when|new
90,indirect_question,Have you bought any of Zyon Incorporated's stock?,Have you heard,4,,0,the job fair?,which companies are attending,did|are|which|companies|never|attending
91,indirect_question,I'm looking for winter volunteer opportunities.,Can you tell me,5,,0,reservations today?,if the restaurant is taking,restaurant|are|taking|is|the|they|if
92,indirect_question,My next project will be a documentary film about an influential leader.,Would you tell me,5,,0,schedule later today?,why the team changed its,why|team|changed|its|the|did|just
93,indirect_question,We should check out that new restaurant this afternoon.,Can you explain,5,,0,on Friday?,when the seminar will begin,seminar|when|will|are|they|the|begin
94,indirect_question,I'm looking for winter volunteer opportunities.,Would you tell me,5,,0,more smoothly?,how the problem can be,how|can|problem|be|know|the|maybe
95,indirect_question,The manager asked everyone to arrive a little earlier tomorrow.,Would you tell me,4,,0,volunteer events?,which organizations are planning,find|planning|which|are|never|organizations
96,indirect_question,The public speaking seminar had many different sessions.,I wonder,5,,0,its hours this week?,whether the museum will extend,will|whether|about|already|extend|the|museum
97,indirect_question,We should check out that new restaurant this afternoon.,Did you find out,5,,0,so confusing?,why the website has been,website|always|has|the|why|been|probably
98,indirect_question,I saw a few complaints about problems with the payment page.,Can you explain,5,,0,for each session?,how the students were grouped,it|were|grouped|the|already|how|students
99,indirect_question,The apartment complex is adding new security cameras this month.,Have you heard,5,,0,effect next month?,when the new policy takes,is|when|policy|new|takes|quite|the
100,indirect_question,The apartment complex is adding new security cameras this month.,Did you find out,4,,0,the job fair?,which companies are attending,always|attending|are|companies|it|which
101,indirect_question,The travel fair had several booths about study-abroad programs.,Can you tell me,5,,0,reservations today?,if the restaurant is taking,is|taking|restaurant|still|just|the|if
102,indirect_question,The travel fair had several booths about study-abroad programs.,Have you heard,5,,0,schedule later today?,why the team changed its,they|really|why|changed|the|its|team
103,indirect_question,My next project will be a documentary film about an influential leader.,I wonder,5,,0,on Friday?,when the seminar will begin,it|quite|the|when|seminar|will|begin
104,indirect_question,The apartment complex is adding new security cameras this month.,Do you know,5,,0,more smoothly?,how the problem can be,they|the|how|problem|rather|can|be
105,indirect_question,Didn't you tell me you lost that document?,Can you explain,4,,0,volunteer events?,which organizations are planning,they|rather|are|which|organizations|planning
106,indirect_question,The public speaking seminar had many different sessions.,Did you find out,5,,0,its hours this week?,whether the museum will extend,whether|the|still|will|museum|extend|is
107,indirect_question,The travel fair had several booths about study-abroad programs.,Do you know,5,,0,so confusing?,why the website has been,why|has|website|been|quite|the|you
108,indirect_question,That jazz concert last Friday was really amazing.,I wonder,5,,0,for each session?,how the students were grouped,grouped|really|students|the|was|how|were
109,indirect_question,The public speaking seminar had many different sessions.,Would you tell me,5,,0,effect next month?,when the new policy takes,when|maybe|new|policy|still|takes|the
110,indirect_question,The job fair will include several companies from overseas.,Can you explain,4,,0,the job fair?,which companies are attending,are|do|attending|is|which|companies
111,indirect_question,That jazz concert last Friday was really amazing.,Can you tell me,5,,0,reservations today?,if the restaurant is taking,restaurant|if|did|the|is|taking|know
112,indirect_question,A lot of students seem nervous about the final presentation.,Could you tell me,5,,0,schedule later today?,why the team changed its,its|find|team|why|the|rather|changed
113,indirect_question,That jazz concert last Friday was really amazing.,Can you tell me,5,,0,on Friday?,when the seminar will begin,the|already|begin|when|will|find|seminar
114,indirect_question,I'm looking for winter volunteer opportunities.,I wonder,5,,0,more smoothly?,how the problem can be,the|be|you|already|can|how|problem
115,indirect_question,Why did you move to this neighborhood?,Can you explain,4,,0,volunteer events?,which organizations are planning,are|organizations|which|they|planning|maybe
116,indirect_question,What did the teacher mean during class?,Did you find out,5,,0,its hours this week?,whether the museum will extend,museum|whether|the|they|just|will|extend
117,indirect_question,Some people were confused by the updated registration process.,Could you tell me,5,,0,so confusing?,why the website has been,has|already|website|why|the|about|been
118,indirect_question,Some people were confused by the updated registration process.,Have you heard,5,,0,for each session?,how the students were grouped,how|know|were|grouped|the|is|students
119,indirect_question,The apartment complex is adding new security cameras this month.,Could you tell me,5,,0,effect next month?,when the new policy takes,takes|the|when|already|policy|new|never
120,indirect_question,The website redesign has caused a few unexpected issues.,Have you heard,4,,0,the job fair?,which companies are attending,is|attending|which|are|you|companies
121,statement,What did the teacher mean during class?,I,6,either,0,.,did not get what she wanted,what|find|get|know|she|not|did|wanted
122,indirect_question,We should check out that new restaurant this afternoon.,Do you,5,reservations,0,today?,know if it is taking,did|it|never|if|taking|is|know
123,statement,Have you bought any of Zyon Incorporated's stock?,I am,4,investments,0,like that.,not comfortable with risky,not|with|comfortable|already|did|risky
124,indirect_question,That jazz concert last Friday was really amazing.,Can we,6,is happening,0,again?,find out when a similar event,you|when|event|a|find|out|still|similar
125,indirect_question,I'm looking for winter volunteer opportunities.,Which,3,winter volunteer,0,opportunities in your city?,organizations are planning,was|are|organizations|still|planning
126,reported_speech,I saw a few complaints about problems with the payment page.,The supervisor,6,fix them,0,promptly.,wants to know how we can,can|wants|know|we|to|how|still|rather
127,statement,Didn't you tell me you lost that document?,I,5,near the window,0,.,discovered it in the drawer,in|really|even|drawer|it|discovered|the
128,indirect_question,My next project will be a documentary film about an influential leader.,Have you,4,to focus on,0,?,decided which influential leader,is|leader|decided|maybe|influential|which
129,statement,Why did you move to this neighborhood?,I found,6,convenient,0,in this neighborhood.,the amenities to be much more,be|out|they|more|to|the|amenities|much
130,indirect_question,The public speaking seminar had many different sessions.,Could you,6,was organized,0,?,tell me how each seminar session,me|tell|never|session|you|how|each|seminar
131,statement,The manager asked everyone to arrive a little earlier tomorrow.,I,6,either,0,.,did not get what she wanted,find|what|she|will|wanted|not|did|get
132,indirect_question,A lot of students seem nervous about the final presentation.,Do you,5,reservations,0,today?,know if it is taking,know|it|taking|is|rather|if|did
133,statement,The travel fair had several booths about study-abroad programs.,I am,4,investments,0,like that.,not comfortable with risky,just|not|do|risky|comfortable|with
134,indirect_question,Our professor recommended a few good sources for the paper.,Can we,6,is happening,0,again?,find out when a similar event,similar|when|find|event|a|maybe|out|quite
135,indirect_question,The apartment complex is adding new security cameras this month.,Which,3,winter volunteer,0,opportunities in your city?,organizations are planning,do|are|planning|maybe|organizations
136,reported_speech,I heard the museum will extend its hours during the festival.,The supervisor,6,fix them,0,promptly.,wants to know how we can,do|wants|how|probably|know|can|to|we
137,statement,Some people were confused by the updated registration process.,I,5,near the window,0,.,discovered it in the drawer,the|in|discovered|be|drawer|it|will
138,indirect_question,The job fair will include several companies from overseas.,Have you,4,to focus on,0,?,decided which influential leader,know|influential|decided|which|leader|was
139,statement,The club plans to organize another charity event this semester.,I found,6,convenient,0,in this neighborhood.,the amenities to be much more,did|much|the|be|to|is|amenities|more
140,indirect_question,The website redesign has caused a few unexpected issues.,Could you,6,was organized,0,?,tell me how each seminar session,how|tell|seminar|never|me|each|they|session
141,statement,What did the teacher mean during class?,I,6,either,0,.,did not get what she wanted,get|still|not|wanted|she|just|did|what
142,indirect_question,We should check out that new restaurant this afternoon.,Do you,5,reservations,0,today?,know if it is taking,is|taking|will|out|it|if|know
143,statement,Have you bought any of Zyon Incorporated's stock?,I am,4,investments,0,like that.,not comfortable with risky,not|risky|maybe|with|comfortable|know
144,indirect_question,That jazz concert last Friday was really amazing.,Can we,6,is happening,0,again?,find out when a similar event,event|similar|find|when|a|out|probably|be
145,indirect_question,I'm looking for winter volunteer opportunities.,Which,3,winter volunteer,0,opportunities in your city?,organizations are planning,organizations|always|planning|are|rather
146,reported_speech,I saw a few complaints about problems with the payment page.,The supervisor,6,fix them,0,promptly.,wants to know how we can,wants|how|we|to|know|was|can|is
147,statement,Didn't you tell me you lost that document?,I,5,near the window,0,.,discovered it in the drawer,discovered|in|know|it|drawer|probably|the
148,indirect_question,My next project will be a documentary film about an influential leader.,Have you,4,to focus on,0,?,decided which influential leader,know|out|which|leader|influential|decided
149,statement,Why did you move to this neighborhood?,I found,6,convenient,0,in this neighborhood.,the amenities to be much more,more|did|much|the|to|do|amenities|be
150,indirect_question,The public speaking seminar had many different sessions.,Could you,6,was organized,0,?,tell me how each seminar session,are|how|can|seminar|me|each|tell|session
151,statement,The manager asked everyone to arrive a little earlier tomorrow.,I,6,either,0,.,did not get what she wanted,rather|not|she|did|get|what|always|wanted
152,indirect_question,A lot of students seem nervous about the final presentation.,Do you,5,reservations,0,today?,know if it is taking,maybe|you|taking|know|it|if|is
153,statement,The travel fair had several booths about study-abroad programs.,I am,4,investments,0,like that.,not comfortable with risky,with|comfortable|really|risky|rather|not
154,indirect_question,Our professor recommended a few good sources for the paper.,Can we,6,is happening,0,again?,find out when a similar event,when|find|maybe|just|similar|event|out|a
155,indirect_question,The apartment complex is adding new security cameras this month.,Which,3,winter volunteer,0,opportunities in your city?,organizations are planning,are|do|organizations|planning|be
156,reported_speech,I heard the museum will extend its hours during the festival.,The supervisor,6,fix them,0,promptly.,wants to know how we can,can|did|probably|to|how|know|we|wants
157,statement,Some people were confused by the updated registration process.,I,5,near the window,0,.,discovered it in the drawer,it|in|the|are|drawer|just|discovered
158,indirect_question,The job fair will include several companies from overseas.,Have you,4,to focus on,0,?,decided which influential leader,leader|they|always|decided|influential|which
159,statement,The club plans to organize another charity event this semester.,I found,6,convenient,0,in this neighborhood.,the amenities to be much more,probably|quite|to|much|the|more|be|amenities
160,indirect_question,The website redesign has caused a few unexpected issues.,Could you,6,was organized,0,?,tell me how each seminar session,how|they|each|seminar|me|session|tell|already
161,statement,What did the teacher mean during class?,I,6,either,0,.,did not get what she wanted,did|what|rather|find|get|wanted|not|she
162,indirect_question,We should check out that new restaurant this afternoon.,Do you,5,reservations,0,today?,know if it is taking,know|it|just|rather|taking|is|if
163,statement,Have you bought any of Zyon Incorporated's stock?,I am,4,investments,0,like that.,not comfortable with risky,find|comfortable|risky|always|not|with
164,indirect_question,That jazz concert last Friday was really amazing.,Can we,6,is happening,0,again?,find out when a similar event,a|really|out|similar|quite|find|event|when
165,indirect_question,I'm looking for winter volunteer opportunities.,Which,3,winter volunteer,0,opportunities in your city?,organizations are planning,organizations|are|always|planning|still
166,reported_speech,I saw a few complaints about problems with the payment page.,The supervisor,6,fix them,0,promptly.,wants to know how we can,wants|can|we|still|to|know|out|how
167,statement,Didn't you tell me you lost that document?,I,5,near the window,0,.,discovered it in the drawer,drawer|in|it|the|discovered|did|really
168,indirect_question,My next project will be a documentary film about an influential leader.,Have you,4,to focus on,0,?,decided which influential leader,already|out|decided|which|influential|leader
169,statement,Why did you move to this neighborhood?,I found,6,convenient,0,in this neighborhood.,the amenities to be much more,more|to|do|the|can|much|amenities|be
170,indirect_question,The public speaking seminar had many different sessions.,Could you,6,was organized,0,?,tell me how each seminar session,me|you|seminar|how|can|tell|each|session
171,statement,The manager asked everyone to arrive a little earlier tomorrow.,I,6,either,0,.,did not get what she wanted,even|wanted|what|not|she|did|can|get
172,indirect_question,A lot of students seem nervous about the final presentation.,Do you,5,reservations,0,today?,know if it is taking,know|if|actually|it|always|is|taking
173,statement,The travel fair had several booths about study-abroad programs.,I am,4,investments,0,like that.,not comfortable with risky,probably|comfortable|with|quite|not|risky
174,indirect_question,Our professor recommended a few good sources for the paper.,Can we,6,is happening,0,again?,find out when a similar event,event|a|quite|still|similar|out|find|when
175,indirect_question,The apartment complex is adding new security cameras this month.,Which,3,winter volunteer,0,opportunities in your city?,organizations are planning,planning|find|organizations|are|you
176,reported_speech,I heard the museum will extend its hours during the festival.,The supervisor,6,fix them,0,promptly.,wants to know how we can,know|we|be|can|wants|how|to|did
177,statement,Some people were confused by the updated registration process.,I,5,near the window,0,.,discovered it in the drawer,drawer|always|the|it|in|know|discovered
178,indirect_question,The job fair will include several companies from overseas.,Have you,4,to focus on,0,?,decided which influential leader,probably|influential|leader|which|decided|know
179,statement,The club plans to organize another charity event this semester.,I found,6,convenient,0,in this neighborhood.,the amenities to be much more,will|to|much|amenities|the|be|more|can
180,indirect_question,The website redesign has caused a few unexpected issues.,Could you,6,was organized,0,?,tell me how each seminar session,each|maybe|session|how|seminar|me|tell|already
181,statement,What did the teacher mean during class?,I,6,either,0,.,did not get what she wanted,wanted|get|what|did|not|will|find|she
182,indirect_question,We should check out that new restaurant this afternoon.,Do you,5,reservations,0,today?,know if it is taking,it|if|know|taking|will|is|never
183,statement,Have you bought any of Zyon Incorporated's stock?,I am,4,investments,0,like that.,not comfortable with risky,out|not|with|comfortable|risky|do
184,indirect_question,That jazz concert last Friday was really amazing.,Can we,6,is happening,0,again?,find out when a similar event,always|out|find|can|event|similar|a|when
185,indirect_question,I'm looking for winter volunteer opportunities.,Which,3,winter volunteer,0,opportunities in your city?,organizations are planning,planning|will|already|organizations|are
186,reported_speech,I saw a few complaints about problems with the payment page.,The supervisor,6,fix them,0,promptly.,wants to know how we can,know|always|even|we|to|wants|can|how
187,statement,Didn't you tell me you lost that document?,I,5,near the window,0,.,discovered it in the drawer,discovered|in|drawer|just|it|find|the
188,indirect_question,My next project will be a documentary film about an influential leader.,Have you,4,to focus on,0,?,decided which influential leader,leader|always|already|which|decided|influential
189,statement,Why did you move to this neighborhood?,I found,6,convenient,0,in this neighborhood.,the amenities to be much more,amenities|be|never|much|to|the|more|can
190,indirect_question,The public speaking seminar had many different sessions.,Could you,6,was organized,0,?,tell me how each seminar session,tell|did|out|seminar|me|each|session|how
191,statement,The manager asked everyone to arrive a little earlier tomorrow.,I,6,either,0,.,did not get what she wanted,what|get|she|never|did|not|you|wanted
192,indirect_question,A lot of students seem nervous about the final presentation.,Do you,5,reservations,0,today?,know if it is taking,it|taking|maybe|know|will|is|if
193,statement,The travel fair had several booths about study-abroad programs.,I am,4,investments,0,like that.,not comfortable with risky,even|can|with|risky|not|comfortable
194,indirect_question,Our professor recommended a few good sources for the paper.,Can we,6,is happening,0,again?,find out when a similar event,similar|event|out|probably|a|when|find|already
195,indirect_question,The apartment complex is adding new security cameras this month.,Which,3,winter volunteer,0,opportunities in your city?,organizations are planning,planning|is|are|organizations|can
196,reported_speech,I heard the museum will extend its hours during the festival.,The supervisor,6,fix them,0,promptly.,wants to know how we can,to|can|wants|find|how|we|know|always
197,statement,Some people were confused by the updated registration process.,I,5,near the window,0,.,discovered it in the drawer,drawer|it|in|never|the|actually|discovered
198,indirect_question,The job fair will include several companies from overseas.,Have you,4,to focus on,0,?,decided which influential leader,influential|maybe|decided|which|leader|they
199,statement,The club plans to organize another charity event this semester.,I found,6,convenient,0,in this neighborhood.,the amenities to be much more,quite|amenities|still|the|much|more|to|be
200,indirect_question,The website redesign has caused a few unexpected issues.,Could you,6,was organized,0,?,tell me how each seminar session,session|seminar|even|how|me|tell|each|just
201,statement,What did the teacher mean during class?,I,6,either,0,.,did not get what she wanted,always|did|out|what|she|wanted|get|not
202,indirect_question,We should check out that new restaurant this afternoon.,Do you,5,reservations,0,today?,know if it is taking,is|taking|always|it|probably|know|if
203,statement,Have you bought any of Zyon Incorporated's stock?,I am,4,investments,0,like that.,not comfortable with risky,with|maybe|risky|comfortable|not|did
204,indirect_question,That jazz concert last Friday was really amazing.,Can we,6,is happening,0,again?,find out when a similar event,a|when|similar|probably|find|out|event|be
205,indirect_question,I'm looking for winter volunteer opportunities.,Which,3,winter volunteer,0,opportunities in your city?,organizations are planning,will|organizations|be|planning|are
206,reported_speech,I saw a few complaints about problems with the payment page.,The supervisor,6,fix them,0,promptly.,wants to know how we can,can|rather|to|never|how|know|wants|we
207,statement,Didn't you tell me you lost that document?,I,5,near the window,0,.,discovered it in the drawer,probably|in|the|drawer|discovered|maybe|it
208,indirect_question,My next project will be a documentary film about an influential leader.,Have you,4,to focus on,0,?,decided which influential leader,which|leader|influential|was|never|decided
209,statement,Why did you move to this neighborhood?,I found,6,convenient,0,in this neighborhood.,the amenities to be much more,much|be|the|to|is|you|more|amenities
