id,context,instruction,display_tokens,answer_words,choices,difficulty,type,full_response
39,That sentence in the reading passage was tricky.,Make an appropriate sentence.,I did ____ ____ ____ ____ ____ ____ ____.,not|get|what|the|author|meant|either,get|either|author|really|the|meant|what|not,medium,did_not_get,I did not get what the author meant either.
40,The team leader's instructions after lunch were unclear.,Make an appropriate sentence.,I ____ ____ ____ ____ ____ ____ ____.,did|not|get|what|she|meant|either,she|get|meant|really|not|what|did|either,medium,did_not_get,I did not get what she meant either.
41,Have you thought about buying stock in that startup?,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|investments|like|that,like|investments|with|today|really|not|comfortable|that,medium,not_comfortable,I am not comfortable with investments like that.
42,Would you invest in a brand-new company?,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|risks|like|that,with|that|like|really|not|comfortable|risks,medium,not_comfortable,I am not comfortable with risks like that.
43,Some people buy cryptocurrency without much research.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|choices|like|that,today|really|choices|comfortable|like|not|with|that,medium,not_comfortable,I am not comfortable with choices like that.
44,My cousin wants to put all his savings into one fund.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|plans|like|that,like|comfortable|really|not|plans|today|that|with,medium,not_comfortable,I am not comfortable with plans like that.
45,The ad makes day trading sound easy.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|strategies|like|that,like|not|that|comfortable|strategies|really|today|with,medium,not_comfortable,I am not comfortable with strategies like that.
46,My friend wants to borrow money to invest.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|moves|like|that,that|like|comfortable|not|today|really|with|moves,medium,not_comfortable,I am not comfortable with moves like that.
47,They suggested buying shares based on a rumor.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|advice|like|that,not|like|today|advice|comfortable|with|that|really,medium,not_comfortable,I am not comfortable with advice like that.
48,He wants to invest in a business he barely knows.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|decisions|like|that,comfortable|really|that|like|not|decisions|with,medium,not_comfortable,I am not comfortable with decisions like that.
49,She plans to buy a lot of stock all at once.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|purchases|like|that,like|with|purchases|comfortable|that|not|really,medium,not_comfortable,I am not comfortable with purchases like that.
50,The app keeps recommending risky assets.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|suggestions|like|that,that|today|with|not|really|like|suggestions|comfortable,medium,not_comfortable,I am not comfortable with suggestions like that.
51,Someone online told me to buy a coin tonight.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|tips|like|that,really|today|not|tips|like|that|comfortable|with,medium,not_comfortable,I am not comfortable with tips like that.
52,My brother wants to invest without reading the report.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|habits|like|that,like|really|habits|comfortable|not|with|that|today,medium,not_comfortable,I am not comfortable with habits like that.
53,They are asking for money before sharing details.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|offers|like|that,offers|comfortable|like|that|with|not|really,medium,not_comfortable,I am not comfortable with offers like that.
54,A coworker said I should follow every market trend.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|approaches|like|that,with|comfortable|really|approaches|like|not|today|that,medium,not_comfortable,I am not comfortable with approaches like that.
55,The sales pitch sounded too good to be true.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|promises|like|that,that|promises|comfortable|with|really|like|not,medium,not_comfortable,I am not comfortable with promises like that.
56,She wants to sign the contract right away.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|agreements|like|that,with|that|not|comfortable|like|agreements|really,medium,not_comfortable,I am not comfortable with agreements like that.
57,The website asked for payment before any explanation.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|requests|like|that,that|comfortable|like|requests|really|not|today|with,medium,not_comfortable,I am not comfortable with requests like that.
58,He plans to make the purchase without testing the product.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|actions|like|that,really|with|actions|that|not|comfortable|like,medium,not_comfortable,I am not comfortable with actions like that.
59,They want to share private data for a small reward.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|deals|like|that,comfortable|like|not|really|with|deals|that,medium,not_comfortable,I am not comfortable with deals like that.
60,The proposal seems rushed and incomplete.,Make an appropriate sentence.,I am ____ ____ ____ ____ ____ ____.,not|comfortable|with|arrangements|like|that,comfortable|arrangements|like|not|really|with|that,medium,not_comfortable,I am not comfortable with arrangements like that.
61,That jazz concert last Friday was really amazing.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|a|similar|event|is|happening|again,when|again|happening|a|similar|really|event|is,medium,find_out_when,How can we find out when a similar event is happening again?
62,The food festival downtown was so much fun.,Make an appropriate sentence.,How can we find ____ ____ ____ ____ ____ ____ ____?,out|when|another|festival|is|coming|back,festival|when|coming|really|another|back|out|is,medium,find_out_when,How can we find out when another festival is coming back?
63,I loved the guest lecture in the main hall.,Make an appropriate sentence.,How can we find ____ ____ ____ ____ ____ ____ ____?,out|when|that|speaker|is|visiting|again,out|when|that|visiting|today|really|again|speaker|is,medium,find_out_when,How can we find out when that speaker is visiting again?
64,The science museum's night tour was excellent.,Make an appropriate sentence.,How can we find ____ ____ ____ ____ ____ ____ ____?,out|when|the|next|tour|is|scheduled,is|out|next|scheduled|tour|the|really|when,medium,find_out_when,How can we find out when the next tour is scheduled?
65,That photography exhibit was worth the trip.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|a|new|show|is|opening|there,opening|is|new|a|there|really|show|today|when,medium,find_out_when,How can we find out when a new show is opening there?
66,The dance performance last month sold out quickly.,Make an appropriate sentence.,How can we find ____ ____ ____ ____ ____ ____ ____?,out|when|another|performance|is|planned|soon,is|really|out|when|performance|another|planned|soon,medium,find_out_when,How can we find out when another performance is planned soon?
67,The school orchestra played beautifully yesterday.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|their|next|concert|is|taking|place,when|place|concert|next|really|their|taking|is,medium,find_out_when,How can we find out when their next concert is taking place?
68,The cooking class filled up before I could register.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|the|next|class|is|being|offered,the|next|class|when|being|is|really|offered,medium,find_out_when,How can we find out when the next class is being offered?
69,The beach cleanup event felt rewarding.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|the|next|cleanup|is|happening|nearby,cleanup|nearby|really|the|next|when|happening|is,medium,find_out_when,How can we find out when the next cleanup is happening nearby?
70,The startup fair had great networking sessions.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|a|similar|fair|is|happening|again,again|when|happening|similar|really|today|is|a|fair,medium,find_out_when,How can we find out when a similar fair is happening again?
71,That book signing at the library was crowded.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|the|author|is|coming|back|again,coming|really|again|is|when|author|the|back,medium,find_out_when,How can we find out when the author is coming back again?
72,The campus movie screening drew a huge audience.,Make an appropriate sentence.,How can we find ____ ____ ____ ____ ____ ____ ____?,out|when|another|screening|is|happening|soon,happening|soon|is|really|when|today|out|screening|another,medium,find_out_when,How can we find out when another screening is happening soon?
73,The robotics demo was more exciting than I expected.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|the|next|demo|is|taking|place,when|place|is|really|taking|the|next|demo,medium,find_out_when,How can we find out when the next demo is taking place?
74,The design workshop gave me lots of ideas.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|a|similar|workshop|is|happening|again,happening|similar|a|is|workshop|when|really|again,medium,find_out_when,How can we find out when a similar workshop is happening again?
75,The poetry reading at the café was surprisingly good.,Make an appropriate sentence.,How can we find ____ ____ ____ ____ ____ ____ ____?,out|when|another|reading|is|scheduled|there,when|really|scheduled|is|reading|out|another|there,medium,find_out_when,How can we find out when another reading is scheduled there?
76,The community market had so many local artists.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|the|next|market|is|being|held,being|really|market|is|the|next|held|today|when,medium,find_out_when,How can we find out when the next market is being held?
77,The volunteer orientation was very helpful.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|the|next|session|is|taking|place,when|the|place|session|is|really|taking|next,medium,find_out_when,How can we find out when the next session is taking place?
78,The language exchange night was fun and relaxed.,Make an appropriate sentence.,How can we find ____ ____ ____ ____ ____ ____ ____?,out|when|another|meeting|is|happening|again,really|another|is|out|again|when|happening|meeting|today,medium,find_out_when,How can we find out when another meeting is happening again?
79,The film discussion after class was really engaging.,Make an appropriate sentence.,How can we find ____ ____ ____ ____ ____ ____ ____?,out|when|the|next|discussion|is|scheduled,out|scheduled|really|today|next|when|is|the|discussion,medium,find_out_when,How can we find out when the next discussion is scheduled?
80,That museum lecture on ancient history was fascinating.,Make an appropriate sentence.,How can we find out ____ ____ ____ ____ ____ ____ ____?,when|a|similar|talk|is|happening|again,again|is|today|really|similar|happening|talk|when|a,medium,find_out_when,How can we find out when a similar talk is happening again?
81,I am looking for winter volunteer opportunities.,Make an appropriate sentence.,Which organizations in ____ ____ ____ ____ ____ ____ ____?,your|city|are|you|planning|to|contact,city|planning|you|really|are|your|to|contact,medium,which_contact,Which organizations in your city are you planning to contact?
82,I want to help at a food bank this month.,Make an appropriate sentence.,Which groups in ____ ____ ____ ____ ____ ____ ____?,the|area|are|you|planning|to|contact,the|really|to|contact|you|are|planning|area,medium,which_contact,Which groups in the area are you planning to contact?
83,I hope to volunteer at an animal shelter soon.,Make an appropriate sentence.,Which places ____ ____ ____ ____ ____ ____ ____?,near|campus|are|you|planning|to|contact,to|contact|you|planning|today|are|campus|near|really,medium,which_contact,Which places near campus are you planning to contact?
84,I need community service hours before graduation.,Make an appropriate sentence.,Which ____ ____ ____ ____ ____ ____ ____?,programs|downtown|are|you|planning|to|contact,you|contact|planning|to|really|programs|downtown|today|are,medium,which_contact,Which programs downtown are you planning to contact?
85,I would like to tutor children on weekends.,Make an appropriate sentence.,Which centers ____ ____ ____ ____ ____ ____ ____?,in|town|are|you|planning|to|contact,really|town|contact|to|you|planning|are|in,medium,which_contact,Which centers in town are you planning to contact?
86,I want to join an environmental project this spring.,Make an appropriate sentence.,Which teams in ____ ____ ____ ____ ____ ____ ____?,the|city|are|you|planning|to|contact,are|to|the|city|really|you|planning|contact,medium,which_contact,Which teams in the city are you planning to contact?
87,I am interested in helping at a hospital.,Make an appropriate sentence.,Which offices ____ ____ ____ ____ ____ ____ ____?,near|here|are|you|planning|to|contact,near|are|planning|here|to|you|contact|really,medium,which_contact,Which offices near here are you planning to contact?
88,I want to work with elderly residents this summer.,Make an appropriate sentence.,Which homes in ____ ____ ____ ____ ____ ____ ____?,the|district|are|you|planning|to|contact,district|really|you|the|contact|planning|are|to,medium,which_contact,Which homes in the district are you planning to contact?
89,I am searching for museum volunteer roles.,Make an appropriate sentence.,Which museums ____ ____ ____ ____ ____ ____ ____?,in|town|are|you|planning|to|contact,to|today|in|town|planning|are|really|contact|you,medium,which_contact,Which museums in town are you planning to contact?
90,I would like to mentor younger students after school.,Make an appropriate sentence.,Which schools ____ ____ ____ ____ ____ ____ ____?,near|you|are|you|planning|to|contact,are|you|near|you|to|planning|really|contact,medium,which_contact,Which schools near you are you planning to contact?
91,I want to join a park cleanup next weekend.,Make an appropriate sentence.,Which groups in ____ ____ ____ ____ ____ ____ ____?,the|city|are|you|planning|to|contact,planning|contact|are|really|to|the|city|you,medium,which_contact,Which groups in the city are you planning to contact?
92,I am exploring literacy volunteer programs.,Make an appropriate sentence.,Which libraries ____ ____ ____ ____ ____ ____ ____?,near|campus|are|you|planning|to|contact,campus|planning|are|really|near|contact|to|you|today,medium,which_contact,Which libraries near campus are you planning to contact?
93,I need a short-term volunteer role for the break.,Make an appropriate sentence.,Which charities ____ ____ ____ ____ ____ ____ ____?,in|town|are|you|planning|to|contact,to|contact|in|you|planning|town|really|are,medium,which_contact,Which charities in town are you planning to contact?
94,I would like to help refugees in the area.,Make an appropriate sentence.,Which centers in ____ ____ ____ ____ ____ ____ ____?,your|city|are|you|planning|to|contact,planning|today|really|are|you|contact|to|city|your,medium,which_contact,Which centers in your city are you planning to contact?
95,I am interested in community garden projects.,Make an appropriate sentence.,Which gardens ____ ____ ____ ____ ____ ____ ____?,near|here|are|you|planning|to|contact,here|planning|really|to|you|near|contact|are|today,medium,which_contact,Which gardens near here are you planning to contact?
96,I want to help at local art events.,Make an appropriate sentence.,Which ____ ____ ____ ____ ____ ____ ____?,organizations|downtown|are|you|planning|to|contact,downtown|really|you|to|organizations|are|contact|planning,medium,which_contact,Which organizations downtown are you planning to contact?
97,I am looking for beach cleanup programs.,Make an appropriate sentence.,Which teams along ____ ____ ____ ____ ____ ____ ____?,the|coast|are|you|planning|to|contact,really|the|planning|you|contact|are|coast|to,medium,which_contact,Which teams along the coast are you planning to contact?
98,I hope to teach basic computer skills.,Make an appropriate sentence.,Which ____ ____ ____ ____ ____ ____ ____?,community|centers|are|you|planning|to|contact,planning|you|community|contact|to|really|today|are|centers,medium,which_contact,Which community centers are you planning to contact?
99,I want to volunteer at a youth sports camp.,Make an appropriate sentence.,Which clubs in ____ ____ ____ ____ ____ ____ ____?,the|area|are|you|planning|to|contact,really|the|to|contact|you|planning|area|are|today,medium,which_contact,Which clubs in the area are you planning to contact?
100,I am searching for animal rescue groups.,Make an appropriate sentence.,Which shelters ____ ____ ____ ____ ____ ____ ____?,near|you|are|you|planning|to|contact,are|to|really|contact|you|today|planning|you|near,medium,which_contact,Which shelters near you are you planning to contact?
101,I saw a few complaints about the payment page.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|fix|them|promptly,know|fix|we|can|really|today|them|how|promptly,medium,supervisor_wants,The supervisor wants to know how we can fix them promptly.
102,Several students reported errors on the registration site.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|solve|them|promptly,promptly|them|we|know|can|solve|how|really,medium,supervisor_wants,The supervisor wants to know how we can solve them promptly.
103,Users keep mentioning bugs in the booking system.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|fix|them|promptly,know|can|really|promptly|fix|we|how|them|today,medium,supervisor_wants,The supervisor wants to know how we can fix them promptly.
104,Customers are confused by the checkout screen.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|improve|it|quickly,know|quickly|can|how|improve|really|we|it,medium,supervisor_wants,The supervisor wants to know how we can improve it quickly.
105,People said the mobile app keeps crashing.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|fix|it|promptly,fix|it|really|can|know|how|we|promptly,medium,supervisor_wants,The supervisor wants to know how we can fix it promptly.
106,A few readers complained about broken links.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|repair|them|quickly,repair|can|really|quickly|how|we|know|them,medium,supervisor_wants,The supervisor wants to know how we can repair them quickly.
107,The support inbox is full of login complaints.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|address|them|promptly,can|really|them|today|how|know|promptly|address|we,medium,supervisor_wants,The supervisor wants to know how we can address them promptly.
108,Students found mistakes on the course page.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|correct|them|quickly,today|we|can|know|correct|quickly|how|really|them,medium,supervisor_wants,The supervisor wants to know how we can correct them quickly.
109,The video platform keeps freezing during class.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|fix|it|promptly,fix|really|how|know|it|promptly|we|can,medium,supervisor_wants,The supervisor wants to know how we can fix it promptly.
110,Clients mentioned delays on the payment screen.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|reduce|them|quickly,really|can|know|we|today|reduce|how|them|quickly,medium,supervisor_wants,The supervisor wants to know how we can reduce them quickly.
111,Some guests could not open the digital tickets.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|solve|that|promptly,solve|that|can|really|how|know|promptly|we,medium,supervisor_wants,The supervisor wants to know how we can solve that promptly.
112,The survey form is not saving responses.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|fix|that|quickly,quickly|today|can|we|how|fix|that|know|really,medium,supervisor_wants,The supervisor wants to know how we can fix that quickly.
113,A few users found typos in the app.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|correct|them|promptly,how|them|promptly|know|correct|can|really|we,medium,supervisor_wants,The supervisor wants to know how we can correct them promptly.
114,People said the map on the website is wrong.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|update|it|quickly,how|we|it|can|know|quickly|update|really,medium,supervisor_wants,The supervisor wants to know how we can update it quickly.
115,Several orders were sent to the wrong address.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|prevent|that|promptly,really|we|know|promptly|how|that|can|prevent,medium,supervisor_wants,The supervisor wants to know how we can prevent that promptly.
116,The new chatbot gave confusing answers.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|improve|it|quickly,how|can|know|improve|it|quickly|we|today|really,medium,supervisor_wants,The supervisor wants to know how we can improve it quickly.
117,Shoppers reported a problem with coupon codes.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|fix|that|promptly,can|how|today|really|promptly|know|fix|we|that,medium,supervisor_wants,The supervisor wants to know how we can fix that promptly.
118,Guests said the booking email never arrived.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|prevent|that|again,know|that|really|we|can|prevent|how|again,medium,supervisor_wants,The supervisor wants to know how we can prevent that again.
119,Readers complained that the newsletter links failed.,Make an appropriate sentence.,The supervisor wants to ____ ____ ____ ____ ____ ____ ____.,know|how|we|can|repair|them|promptly,we|how|know|them|today|can|repair|really|promptly,medium,supervisor_wants,The supervisor wants to know how we can repair them promptly.
